Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2015,Toyota,Alphard,2.5,70000,Automatic,725000000
2015,Toyota,Alphard,2.5,22400,Automatic,665000000
2015,Toyota,Alphard,2.5,55000,Automatic,725000000
2015,Toyota,Alphard,2.5,60000,Automatic,695000000
2015,Toyota,Alphard,2.5,60000,Automatic,739000000
2015,Toyota,Alphard,2.5,70000,Automatic,745000000
2015,Toyota,Alphard,2.5,70000,Automatic,645000000
2015,Toyota,Alphard,2.5,50000,Automatic,775000000
2015,Toyota,Alphard,2.5,51000,Automatic,795000000
2015,Toyota,Alphard,2.5,55000,Automatic,717000000
2015,Toyota,Alphard,2.5,80000,Automatic,785000000
2015,Toyota,Alphard,2.5,40000,Automatic,799000000
2016,Toyota,Alphard,2.5,28000,Automatic,795000000
2016,Toyota,Alphard,2.5,50400,Automatic,785000000
2016,Toyota,Alphard,2.5,50400,Automatic,785000000
2016,Toyota,Alphard,2.5,45000,Automatic,875000000
2016,Toyota,Alphard,2.5,10000,Automatic,860000000
2017,Toyota,Alphard,2.5,61600,Automatic,835000000
2017,Toyota,Alphard,2.5,47000,Automatic,825000000
2017,Toyota,Alphard,2.5,78400,Automatic,815000000
2017,Toyota,Alphard,2.5,35000,Automatic,920000000
2017,Toyota,Alphard,2.5,39000,Automatic,910000000
2017,Toyota,Alphard,2.5,25000,Automatic,875000000
2017,Toyota,Alphard,2.5,42000,Automatic,839000000
2017,Toyota,Alphard,2.5,45000,Automatic,845000000
2017,Toyota,Alphard,2.5,75000,Automatic,875000000
2018,Toyota,Alphard,2.5,18000,Automatic,995000000
2018,Toyota,Alphard,2.5,16800,Automatic,985000000
2018,Toyota,Alphard,2.5,22400,Automatic,935000000
2018,Toyota,Alphard,2.5,44800,Automatic,925000000
2018,Toyota,Alphard,2.5,47000,Automatic,900000000
2018,Toyota,Alphard,2.5,77,Automatic,916600000
2018,Toyota,Alphard,2.5,80000,Automatic,945000000
2018,Toyota,Alphard,2.5,75000,Automatic,925000000
2018,Toyota,Alphard,2.5,35000,Automatic,875000000
2018,Toyota,Alphard,2.5,49000,Automatic,979000000
2018,Toyota,Alphard,2.5,80000,Automatic,916600000
2019,Toyota,Alphard,2.5,33600,Automatic,1050000000
2019,Toyota,Alphard,2.5,28000,Automatic,1025000000
2019,Toyota,Alphard,2.5,26000,Automatic,1100000000
2019,Toyota,Alphard,2.5,10000,Automatic,1025000000
2019,Toyota,Alphard,2.5,20000,Automatic,1090000000
